age,education,years_experience,gender,sex,race,ethnicity,pregnancy,department,position_level,market_rate_salary,negotiated_salary
52,Bachelor,7.7,Did not disclose,Female,Asian,Hispanic or Latino,FALSE,Sales,Director,105900,117100
26,Bachelor,6.3,Female,Female,White,Hispanic or Latino,FALSE,Finance/Accounting,Mid,74300,76500
41,Bachelor,18,Male,Female,Black or African American,Not Hispanic or Latino,FALSE,HR,Mid,92500,93700
55,Master,12.8,Male,Male,Asian,Hispanic or Latino,FALSE,Software,Director,142700,161200
49,Bachelor,18.3,Did not disclose,Male,American Indian or Alaska Native,Not Hispanic or Latino,FALSE,Marketing,Entry,66300,60400
61,Bachelor,16.7,Female,Female,Native Hawaiian or Pacific Islander,Hispanic or Latino,FALSE,Finance/Accounting,Entry,69400,62200
24,Master,1.4,Male,Male,American Indian or Alaska Native,Not Hispanic or Latino,FALSE,Sales,Mid,84800,81900
54,Bachelor,28.3,Female,Female,Native Hawaiian or Pacific Islander,Hispanic or Latino,FALSE,HR,Mid,111000,102200
63,Bachelor,21.2,Male,Male,American Indian or Alaska Native,Hispanic or Latino,FALSE,Sales,Mid,102000,102100
45,Master,19.3,Male,Male,Black or African American,Not Hispanic or Latino,FALSE,Software,Director,139400,136700
51,Bachelor,11.7,Female,Female,Native Hawaiian or Pacific Islander,Hispanic or Latino,FALSE,Marketing,Director,123100,119600
64,Bachelor,14.7,Female,Female,Black or African American,Hispanic or Latino,FALSE,HR,Entry,70900,62000
36,Master,13.4,Male,Male,White,Hispanic or Latino,FALSE,Administrative,Director,135700,141400
43,Bachelor,16.8,Male,Male,Black or African American,Not Hispanic or Latino,FALSE,Marketing,Executive,172700,187800
29,PhD,7.3,Female,Female,Asian,Hispanic or Latino,FALSE,Sales,Mid,113300,108300
57,PhD,34.9,Male,Male,White,Hispanic or Latino,FALSE,Sales,Executive,217000,233800
25,Bachelor,0.2,Did not disclose,Female,Black or African American,Not Hispanic or Latino,FALSE,Administrative,Executive,140000,134900
43,Bachelor,14.8,Male,Male,Native Hawaiian or Pacific Islander,Not Hispanic or Latino,FALSE,Sales,Entry,69500,67400
39,Bachelor,20,Male,Male,Native Hawaiian or Pacific Islander,Not Hispanic or Latino,FALSE,Software,Mid,101400,104600
49,Bachelor,17.2,Male,Male,Native Hawaiian or Pacific Islander,Hispanic or Latino,FALSE,Sales,Mid,102400,103400
26,PhD,0.1,Did not disclose,Male,Black or African American,Hispanic or Latino,FALSE,Marketing,Director,135100,137200
25,Bachelor,5.6,Female,Female,Asian,Hispanic or Latino,FALSE,Sales,Executive,142000,142300
55,Bachelor,27.9,Male,Male,Asian,Not Hispanic or Latino,FALSE,HR,Director,137500,159000
56,Master,33.9,Male,Male,White,Not Hispanic or Latino,FALSE,Marketing,Mid,135500,155000
45,Bachelor,6.1,Male,Female,White,Not Hispanic or Latino,FALSE,Finance/Accounting,Director,106400,120700
44,Bachelor,8.3,Male,Male,American Indian or Alaska Native,Hispanic or Latino,FALSE,HR,Executive,157000,165600
47,Bachelor,24.9,Male,Male,American Indian or Alaska Native,Not Hispanic or Latino,FALSE,Finance/Accounting,Entry,75200,73700
27,Bachelor,8,Male,Male,Native Hawaiian or Pacific Islander,Hispanic or Latino,FALSE,Administrative,Director,105900,70000
27,Master,5.9,Male,Male,Native Hawaiian or Pacific Islander,Hispanic or Latino,FALSE,HR,Mid,85900,89100
23,Master,3.9,Male,Male,White,Not Hispanic or Latino,FALSE,Sales,Mid,82100,90400
24,Master,5.5,Male,Male,White,Hispanic or Latino,FALSE,Marketing,Entry,68200,73300
42,Bachelor,17.9,Male,Male,Native Hawaiian or Pacific Islander,Hispanic or Latino,FALSE,Administrative,Director,114300,116500
23,Bachelor,2.1,Male,Male,White,Not Hispanic or Latino,FALSE,Marketing,Director,102100,110600
59,Bachelor,36.8,Female,Female,Native Hawaiian or Pacific Islander,Hispanic or Latino,FALSE,Finance/Accounting,Director,158200,143700
31,PhD,0.1,Female,Female,White,Not Hispanic or Latino,FALSE,Software,Entry,66500,66800
61,Bachelor,21.4,Male,Male,Native Hawaiian or Pacific Islander,Not Hispanic or Latino,FALSE,HR,Mid,105200,107100
26,PhD,3.3,Did not disclose,Female,Black or African American,Not Hispanic or Latino,FALSE,Marketing,Executive,168300,176600
54,Bachelor,10,Female,Female,White,Hispanic or Latino,FALSE,Sales,Executive,161300,86000
60,Master,22.8,Male,Male,Asian,Hispanic or Latino,FALSE,Marketing,Director,147200,152400
57,Bachelor,23.9,Male,Male,American Indian or Alaska Native,Hispanic or Latino,FALSE,Software,Entry,86900,87000
63,Bachelor,40,Female,Female,American Indian or Alaska Native,Not Hispanic or Latino,FALSE,Marketing,Director,156800,143400
30,Bachelor,5.6,Male,Male,Native Hawaiian or Pacific Islander,Hispanic or Latino,FALSE,Marketing,Director,104200,106600
50,Bachelor,3.9,Male,Male,American Indian or Alaska Native,Hispanic or Latino,FALSE,Administrative,Director,113400,113400
33,Master,10.8,Female,Female,Native Hawaiian or Pacific Islander,Not Hispanic or Latino,FALSE,Marketing,Entry,65500,61300
41,Bachelor,9.1,Did not disclose,Female,American Indian or Alaska Native,Hispanic or Latino,FALSE,Marketing,Director,117800,114700
30,Master,8.6,Male,Male,American Indian or Alaska Native,Not Hispanic or Latino,FALSE,Sales,Entry,65400,61500
64,Bachelor,14.9,Female,Female,Asian,Not Hispanic or Latino,FALSE,Sales,Entry,66900,68100
56,PhD,0.6,Male,Male,White,Hispanic or Latino,FALSE,Marketing,Director,132500,146700
50,Bachelor,29.9,Female,Female,American Indian or Alaska Native,Hispanic or Latino,FALSE,Software,Mid,100700,91500
37,Bachelor,2.6,Male,Male,Asian,Not Hispanic or Latino,FALSE,Sales,Mid,72000,75700
58,Bachelor,2.1,Male,Male,Asian,Not Hispanic or Latino,FALSE,Software,Mid,75000,77000
49,Bachelor,16.4,Female,Female,White,Hispanic or Latino,FALSE,Sales,Entry,65900,66600
26,PhD,6.8,Male,Male,Asian,Hispanic or Latino,FALSE,Finance/Accounting,Mid,104300,110200
49,Master,0.1,Did not disclose,Female,White,Hispanic or Latino,FALSE,Administrative,Mid,87500,90000
23,Bachelor,4.4,Male,Male,White,Not Hispanic or Latino,FALSE,Marketing,Director,107500,120900
39,Bachelor,8.5,Male,Male,Native Hawaiian or Pacific Islander,Not Hispanic or Latino,FALSE,Finance/Accounting,Mid,91600,92400
45,Master,12.3,Male,Male,American Indian or Alaska Native,Not Hispanic or Latino,FALSE,HR,Director,130000,126000
39,Bachelor,1.3,Male,Male,Native Hawaiian or Pacific Islander,Not Hispanic or Latino,FALSE,HR,Entry,61300,59300
26,Bachelor,6.4,Female,Female,Asian,Not Hispanic or Latino,FALSE,Software,Director,98800,96600
61,Bachelor,30.8,Female,Female,Black or African American,Hispanic or Latino,FALSE,HR,Executive,180600,169600
61,Master,29.9,Female,Female,American Indian or Alaska Native,Hispanic or Latino,FALSE,Software,Executive,195100,188300
42,Master,16.9,Male,Female,Black or African American,Hispanic or Latino,FALSE,Software,Mid,104300,105100
57,Master,9.3,Male,Male,Black or African American,Hispanic or Latino,FALSE,Sales,Entry,76100,71700
57,Bachelor,1.2,Male,Male,American Indian or Alaska Native,Not Hispanic or Latino,FALSE,Software,Director,116000,118000
60,Master,10.2,Male,Male,Asian,Hispanic or Latino,FALSE,Marketing,Entry,76000,82300
63,Bachelor,28.1,Male,Male,Asian,Not Hispanic or Latino,FALSE,Finance/Accounting,Mid,116500,124900
39,Master,0.5,Male,Male,American Indian or Alaska Native,Hispanic or Latino,FALSE,HR,Executive,161300,177100
48,Bachelor,8.2,Male,Male,Asian,Not Hispanic or Latino,FALSE,Software,Director,118800,124000
34,PhD,15.1,Male,Male,Black or African American,Hispanic or Latino,FALSE,Finance/Accounting,Mid,120600,121400
40,Bachelor,22,Male,Male,American Indian or Alaska Native,Hispanic or Latino,FALSE,HR,Executive,165200,180000
53,Bachelor,31.6,Female,Female,Black or African American,Not Hispanic or Latino,TRUE,Marketing,Executive,191700,197800
37,Master,2.8,Male,Male,Asian,Hispanic or Latino,FALSE,HR,Mid,85500,94100
50,Master,28.7,Male,Male,Black or African American,Hispanic or Latino,FALSE,Sales,Executive,194100,213100
38,PhD,10.2,Male,Male,White,Not Hispanic or Latino,FALSE,HR,Entry,81500,85400
65,Master,23.2,Female,Male,Native Hawaiian or Pacific Islander,Hispanic or Latino,FALSE,Software,Executive,191100,184900
30,Bachelor,7.4,Male,Male,Asian,Hispanic or Latino,FALSE,Marketing,Entry,50200,54200
42,Bachelor,6.7,Male,Male,Black or African American,Not Hispanic or Latino,FALSE,Sales,Mid,77300,79400
64,Bachelor,4.6,Female,Female,Black or African American,Not Hispanic or Latino,FALSE,Finance/Accounting,Mid,83400,74400
29,Master,0.5,Female,Female,Native Hawaiian or Pacific Islander,Not Hispanic or Latino,FALSE,Administrative,Mid,82100,73700
50,Bachelor,19.6,Male,Male,American Indian or Alaska Native,Hispanic or Latino,FALSE,HR,Director,132200,126600
59,Master,11.6,Male,Male,American Indian or Alaska Native,Hispanic or Latino,FALSE,HR,Director,121400,130000
22,Master,0.1,Male,Male,Asian,Hispanic or Latino,FALSE,Software,Mid,85700,93100
34,Master,2.9,Male,Male,White,Not Hispanic or Latino,FALSE,HR,Mid,89600,99300
35,Bachelor,10.9,Did not disclose,Female,Native Hawaiian or Pacific Islander,Hispanic or Latino,FALSE,Marketing,Mid,78600,80300
26,Master,0.7,Female,Female,Black or African American,Hispanic or Latino,FALSE,Administrative,Entry,57600,55600
30,Bachelor,11.4,Male,Male,Native Hawaiian or Pacific Islander,Not Hispanic or Latino,FALSE,Sales,Executive,158000,162700
37,Bachelor,11.8,Female,Female,American Indian or Alaska Native,Hispanic or Latino,FALSE,Administrative,Director,116400,108900
47,Master,23.6,Female,Female,White,Not Hispanic or Latino,FALSE,HR,Mid,109300,110800
64,Master,14.6,Male,Male,Black or African American,Hispanic or Latino,FALSE,Finance/Accounting,Mid,101300,96200
63,Bachelor,36,Male,Male,American Indian or Alaska Native,Not Hispanic or Latino,FALSE,Finance/Accounting,Director,159700,167300
63,Bachelor,30.3,Male,Male,White,Not Hispanic or Latino,FALSE,Marketing,Executive,184300,208400
54,Bachelor,4.5,Male,Male,Black or African American,Not Hispanic or Latino,FALSE,Sales,Director,107000,114400
50,Bachelor,7,Male,Male,White,Not Hispanic or Latino,FALSE,Software,Mid,83600,92400
46,Bachelor,17.1,Female,Female,American Indian or Alaska Native,Hispanic or Latino,FALSE,Finance/Accounting,Mid,99800,88100
53,PhD,34.3,Male,Male,Asian,Not Hispanic or Latino,FALSE,Software,Mid,136900,151400
38,Master,0.1,Male,Male,White,Not Hispanic or Latino,FALSE,HR,Director,116100,128100
35,Bachelor,16.9,Male,Male,White,Not Hispanic or Latino,FALSE,HR,Mid,98200,101000
27,Bachelor,4.5,Female,Male,Black or African American,Not Hispanic or Latino,FALSE,Sales,Executive,151600,143400
64,Master,42.9,Female,Female,Asian,Hispanic or Latino,FALSE,HR,Director,170300,183500
58,Bachelor,13.6,Female,Female,White,Not Hispanic or Latino,FALSE,HR,Entry,71600,105100
37,PhD,8.7,Male,Male,Asian,Hispanic or Latino,FALSE,Marketing,Director,138400,159100
52,Master,16.9,Male,Male,American Indian or Alaska Native,Not Hispanic or Latino,FALSE,Administrative,Mid,102600,99100
55,Bachelor,27.4,Female,Female,American Indian or Alaska Native,Not Hispanic or Latino,FALSE,Administrative,Director,140400,127600
51,Bachelor,10.3,Male,Male,Native Hawaiian or Pacific Islander,Hispanic or Latino,FALSE,Sales,Entry,60200,59000
53,PhD,2.8,Did not disclose,Male,Asian,Not Hispanic or Latino,FALSE,Administrative,Mid,113600,117000
27,Bachelor,0.6,Female,Female,American Indian or Alaska Native,Hispanic or Latino,FALSE,Marketing,Mid,66700,61200
43,Bachelor,2.3,Male,Male,Black or African American,Not Hispanic or Latino,FALSE,Administrative,Entry,61400,59500
59,Bachelor,22.4,Female,Female,American Indian or Alaska Native,Hispanic or Latino,FALSE,Sales,Director,135800,122900
52,Master,11.1,Male,Male,Black or African American,Hispanic or Latino,FALSE,Finance/Accounting,Director,133700,145000
27,Bachelor,4.6,Male,Male,Native Hawaiian or Pacific Islander,Hispanic or Latino,FALSE,Finance/Accounting,Entry,53000,51500
41,Bachelor,22,Male,Male,American Indian or Alaska Native,Hispanic or Latino,FALSE,Sales,Director,122600,130300
36,PhD,8.9,Female,Female,Black or African American,Hispanic or Latino,FALSE,Marketing,Director,137700,137000
55,Bachelor,15.2,Did not disclose,Male,White,Not Hispanic or Latino,FALSE,Administrative,Executive,168100,176100
63,Master,20.7,Did not disclose,Female,White,Not Hispanic or Latino,FALSE,Sales,Executive,201300,217300
44,Bachelor,21.4,Male,Male,Black or African American,Not Hispanic or Latino,FALSE,Software,Director,131400,141300
33,Bachelor,8.5,Male,Male,Asian,Not Hispanic or Latino,FALSE,Marketing,Entry,58200,58400
47,Bachelor,13.9,Male,Male,White,Hispanic or Latino,FALSE,Administrative,Mid,91500,100900
62,Master,6.1,Male,Male,White,Hispanic or Latino,FALSE,Sales,Director,137100,151500
22,Bachelor,1.5,Male,Male,Asian,Not Hispanic or Latino,FALSE,Marketing,Director,93100,101000
23,Bachelor,0.3,Female,Female,Native Hawaiian or Pacific Islander,Not Hispanic or Latino,TRUE,Finance/Accounting,Entry,46600,40700
45,Bachelor,15.6,Female,Female,Black or African American,Hispanic or Latino,FALSE,Administrative,Director,123500,121400
55,Bachelor,10.9,Male,Male,American Indian or Alaska Native,Hispanic or Latino,FALSE,HR,Executive,165500,167100
46,Bachelor,12.5,Female,Female,White,Hispanic or Latino,FALSE,Marketing,Mid,96100,99600
49,Bachelor,13.8,Male,Male,Asian,Not Hispanic or Latino,FALSE,Administrative,Entry,64800,67300
64,Master,42.6,Female,Female,Black or African American,Not Hispanic or Latino,FALSE,HR,Mid,130700,128900
35,Bachelor,13.9,Female,Female,Native Hawaiian or Pacific Islander,Hispanic or Latino,FALSE,Sales,Mid,86000,77800
55,Bachelor,3.5,Female,Female,Native Hawaiian or Pacific Islander,Not Hispanic or Latino,FALSE,Finance/Accounting,Entry,53200,46500
23,Bachelor,3,Female,Female,Black or African American,Not Hispanic or Latino,FALSE,Sales,Director,93600,88500
52,Bachelor,18.5,Female,Female,Black or African American,Not Hispanic or Latino,FALSE,Sales,Entry,75600,69700
53,Bachelor,1.4,Male,Male,American Indian or Alaska Native,Hispanic or Latino,FALSE,Software,Entry,54900,56100
48,Bachelor,14.7,Male,Female,Black or African American,Hispanic or Latino,FALSE,HR,Mid,87500,86800
31,Bachelor,4.5,Female,Female,American Indian or Alaska Native,Hispanic or Latino,FALSE,Software,Entry,64300,55400
49,Bachelor,13.8,Male,Male,Black or African American,Hispanic or Latino,FALSE,Finance/Accounting,Entry,75700,71600
58,Master,11.4,Male,Male,White,Not Hispanic or Latino,FALSE,Marketing,Entry,76200,76200
31,Master,3.4,Male,Male,Black or African American,Not Hispanic or Latino,FALSE,Administrative,Mid,94000,96800
26,Master,6.5,Female,Female,Asian,Not Hispanic or Latino,FALSE,Marketing,Director,114100,116400
56,Bachelor,29,Female,Female,Native Hawaiian or Pacific Islander,Hispanic or Latino,FALSE,HR,Mid,111700,105500
35,Bachelor,7.8,Male,Male,Black or African American,Hispanic or Latino,FALSE,Finance/Accounting,Entry,69700,67700
35,Master,1.2,Male,Male,American Indian or Alaska Native,Hispanic or Latino,FALSE,Marketing,Entry,67100,67000
49,Bachelor,25.7,Female,Female,White,Hispanic or Latino,FALSE,HR,Director,133700,136500
54,PhD,27.9,Male,Male,American Indian or Alaska Native,Not Hispanic or Latino,FALSE,HR,Director,153500,163200
58,Bachelor,29.4,Female,Female,American Indian or Alaska Native,Not Hispanic or Latino,FALSE,HR,Entry,92500,120800
56,Bachelor,0.5,Male,Male,American Indian or Alaska Native,Not Hispanic or Latino,FALSE,Software,Director,102600,109300
47,Bachelor,1.9,Female,Female,American Indian or Alaska Native,Hispanic or Latino,FALSE,HR,Entry,62100,59000
52,Bachelor,32,Female,Female,Native Hawaiian or Pacific Islander,Not Hispanic or Latino,FALSE,Finance/Accounting,Entry,97400,92500
64,Bachelor,42.6,Male,Male,Native Hawaiian or Pacific Islander,Not Hispanic or Latino,FALSE,Sales,Mid,130700,129800
53,PhD,26.6,Female,Female,Asian,Hispanic or Latino,FALSE,Finance/Accounting,Mid,139600,143100
38,Master,6.9,Male,Male,Native Hawaiian or Pacific Islander,Hispanic or Latino,FALSE,Software,Mid,85200,89300
48,Master,15.6,Female,Female,American Indian or Alaska Native,Not Hispanic or Latino,FALSE,Software,Mid,116200,103300
51,PhD,29.4,Male,Female,White,Not Hispanic or Latino,FALSE,Finance/Accounting,Director,173600,201900
57,Master,0.3,Male,Male,Asian,Not Hispanic or Latino,FALSE,Marketing,Entry,71900,73000
41,Master,15.4,Female,Female,Black or African American,Hispanic or Latino,FALSE,Sales,Mid,106000,95400
32,PhD,6.5,Male,Male,White,Hispanic or Latino,FALSE,Software,Entry,77200,79000
38,Bachelor,14.5,Female,Female,Black or African American,Not Hispanic or Latino,FALSE,Marketing,Executive,162600,167500
30,PhD,2.8,Female,Female,American Indian or Alaska Native,Hispanic or Latino,FALSE,Software,Mid,97300,92800
38,PhD,13.2,Male,Male,American Indian or Alaska Native,Hispanic or Latino,FALSE,Marketing,Director,150200,161200
34,Bachelor,14.1,Female,Female,Black or African American,Hispanic or Latino,FALSE,Marketing,Mid,79100,77400
52,Master,4.3,Male,Male,Asian,Hispanic or Latino,FALSE,Administrative,Mid,90900,100800
22,Master,0.2,Female,Female,Black or African American,Not Hispanic or Latino,FALSE,Administrative,Entry,61500,54500
38,Bachelor,15.1,Female,Male,American Indian or Alaska Native,Hispanic or Latino,FALSE,Finance/Accounting,Mid,82200,79400
54,Bachelor,1.9,Female,Female,Asian,Hispanic or Latino,FALSE,Administrative,Entry,52400,51900
49,Bachelor,24.2,Female,Female,Black or African American,Hispanic or Latino,FALSE,HR,Entry,88700,78400
23,Bachelor,2.1,Male,Male,Native Hawaiian or Pacific Islander,Hispanic or Latino,FALSE,Administrative,Entry,50000,51600
52,Bachelor,5.2,Did not disclose,Female,Asian,Hispanic or Latino,FALSE,Finance/Accounting,Entry,64200,65400
29,Bachelor,5.3,Female,Female,American Indian or Alaska Native,Hispanic or Latino,FALSE,Software,Entry,53800,51700
37,Bachelor,2.8,Male,Male,American Indian or Alaska Native,Hispanic or Latino,FALSE,Software,Director,110400,114300
24,Bachelor,1.6,Female,Female,Asian,Not Hispanic or Latino,FALSE,Software,Mid,74500,76300
58,Master,35.1,Male,Male,American Indian or Alaska Native,Not Hispanic or Latino,FALSE,Administrative,Director,166100,167300
34,Master,6.8,Male,Male,Black or African American,Hispanic or Latino,FALSE,Software,Director,122100,128800
33,Bachelor,11.9,Male,Male,American Indian or Alaska Native,Not Hispanic or Latino,FALSE,HR,Entry,57800,54600
22,Bachelor,1.6,Female,Female,Native Hawaiian or Pacific Islander,Not Hispanic or Latino,FALSE,Finance/Accounting,Entry,41500,38600
51,PhD,31.6,Male,Female,White,Not Hispanic or Latino,FALSE,HR,Executive,216900,248800
52,PhD,10.2,Female,Female,White,Hispanic or Latino,FALSE,Finance/Accounting,Director,140500,139900
58,Bachelor,23.7,Female,Female,Black or African American,Hispanic or Latino,FALSE,Software,Director,131000,121000
27,Master,2.2,Female,Female,Asian,Not Hispanic or Latino,FALSE,Marketing,Mid,88500,87500
37,Bachelor,18.5,Female,Female,Native Hawaiian or Pacific Islander,Not Hispanic or Latino,FALSE,Software,Executive,171600,177500
31,Bachelor,5.7,Female,Female,Native Hawaiian or Pacific Islander,Not Hispanic or Latino,FALSE,Sales,Entry,49300,45800
28,Bachelor,2.1,Female,Female,American Indian or Alaska Native,Not Hispanic or Latino,FALSE,Sales,Entry,41700,40100
30,Bachelor,10,Male,Male,Native Hawaiian or Pacific Islander,Hispanic or Latino,FALSE,Sales,Mid,75600,75500
62,Bachelor,41.4,Female,Female,American Indian or Alaska Native,Hispanic or Latino,FALSE,HR,Director,164600,157600
46,PhD,27.1,Did not disclose,Female,Native Hawaiian or Pacific Islander,Hispanic or Latino,FALSE,Finance/Accounting,Mid,134000,126200
24,Bachelor,2.4,Male,Male,Native Hawaiian or Pacific Islander,Hispanic or Latino,FALSE,Software,Entry,48300,45200
39,Bachelor,17.8,Female,Female,Black or African American,Not Hispanic or Latino,FALSE,Finance/Accounting,Director,126800,119800
49,Master,10.3,Female,Female,American Indian or Alaska Native,Not Hispanic or Latino,FALSE,Sales,Director,128700,127000
36,Bachelor,9.3,Male,Male,Black or African American,Not Hispanic or Latino,FALSE,Finance/Accounting,Entry,52800,49100
50,Bachelor,10.6,Male,Male,Native Hawaiian or Pacific Islander,Hispanic or Latino,FALSE,Marketing,Executive,167100,170300
41,PhD,2.6,Female,Male,Asian,Hispanic or Latino,FALSE,Finance/Accounting,Entry,83100,80700
46,Bachelor,4.2,Female,Female,Native Hawaiian or Pacific Islander,Hispanic or Latino,FALSE,Marketing,Director,102500,102400
37,Master,15.5,Female,Female,Black or African American,Not Hispanic or Latino,FALSE,HR,Entry,87000,76000
45,Bachelor,9,Male,Male,Asian,Hispanic or Latino,FALSE,Sales,Director,114100,131500
54,Bachelor,33.4,Male,Male,Asian,Not Hispanic or Latino,FALSE,Marketing,Mid,112100,114600
59,Bachelor,14.4,Male,Male,American Indian or Alaska Native,Not Hispanic or Latino,FALSE,Software,Entry,87300,86700
64,PhD,19.6,Female,Female,Native Hawaiian or Pacific Islander,Hispanic or Latino,FALSE,Finance/Accounting,Mid,125500,121900
62,Bachelor,17.7,Male,Male,American Indian or Alaska Native,Not Hispanic or Latino,FALSE,Sales,Mid,90200,92400
43,PhD,10.6,Male,Male,Native Hawaiian or Pacific Islander,Not Hispanic or Latino,FALSE,HR,Entry,88800,84700
47,Master,8.6,Male,Male,American Indian or Alaska Native,Not Hispanic or Latino,FALSE,HR,Entry,76800,74900
41,Master,20.5,Male,Male,Black or African American,Hispanic or Latino,FALSE,Software,Mid,115400,110400
58,Bachelor,26.5,Male,Male,American Indian or Alaska Native,Hispanic or Latino,FALSE,Sales,Director,140300,139500
64,Bachelor,26.4,Female,Female,American Indian or Alaska Native,Not Hispanic or Latino,FALSE,Software,Director,138900,126500
36,Master,16.8,Female,Female,American Indian or Alaska Native,Not Hispanic or Latino,FALSE,Software,Director,131500,120100
42,Bachelor,23.7,Male,Male,Native Hawaiian or Pacific Islander,Not Hispanic or Latino,FALSE,Finance/Accounting,Entry,81900,84800
55,Bachelor,4.2,Female,Female,Native Hawaiian or Pacific Islander,Hispanic or Latino,FALSE,Administrative,Entry,54600,50100
46,Master,13.4,Female,Female,American Indian or Alaska Native,Not Hispanic or Latino,FALSE,Sales,Entry,83800,75600
59,Bachelor,27.6,Female,Female,White,Hispanic or Latino,FALSE,Sales,Executive,183000,203500
22,Bachelor,0.2,Male,Male,White,Not Hispanic or Latino,FALSE,Sales,Entry,36200,39700
35,Master,7.5,Female,Female,Black or African American,Not Hispanic or Latino,FALSE,Finance/Accounting,Executive,172200,175200
32,Bachelor,12,Male,Male,American Indian or Alaska Native,Hispanic or Latino,FALSE,Marketing,Director,114400,109500
49,Bachelor,20,Male,Male,White,Not Hispanic or Latino,FALSE,Administrative,Mid,98900,106000
39,Bachelor,13.5,Male,Male,American Indian or Alaska Native,Hispanic or Latino,FALSE,Marketing,Mid,97100,97600
55,Master,5.7,Male,Male,Black or African American,Not Hispanic or Latino,FALSE,HR,Entry,71000,67200
63,Bachelor,17.8,Female,Female,American Indian or Alaska Native,Not Hispanic or Latino,TRUE,Administrative,Entry,77100,66200
57,Bachelor,1.6,Female,Female,American Indian or Alaska Native,Not Hispanic or Latino,FALSE,HR,Executive,154100,148200
41,PhD,2.4,Did not disclose,Male,Native Hawaiian or Pacific Islander,Hispanic or Latino,FALSE,Finance/Accounting,Entry,85800,82800
36,Master,12.1,Did not disclose,Male,American Indian or Alaska Native,Hispanic or Latino,FALSE,HR,Entry,74200,67200
28,Master,8.1,Male,Male,American Indian or Alaska Native,Not Hispanic or Latino,FALSE,HR,Entry,65300,63800
48,Bachelor,7.2,Female,Female,American Indian or Alaska Native,Hispanic or Latino,FALSE,Marketing,Mid,79500,76300
51,Bachelor,23.9,Did not disclose,Female,Black or African American,Hispanic or Latino,FALSE,Sales,Entry,70400,63000
26,Bachelor,6,Female,Female,White,Hispanic or Latino,FALSE,Finance/Accounting,Executive,143100,144100
43,Bachelor,15.2,Female,Female,American Indian or Alaska Native,Not Hispanic or Latino,FALSE,Administrative,Entry,75400,72400
41,Bachelor,0.7,Male,Male,White,Hispanic or Latino,FALSE,HR,Entry,50800,54300
62,Bachelor,41.4,Female,Female,American Indian or Alaska Native,Not Hispanic or Latino,FALSE,HR,Entry,104500,93400
32,Bachelor,10.4,Female,Female,American Indian or Alaska Native,Not Hispanic or Latino,FALSE,Administrative,Entry,62000,59100
49,Master,4.5,Female,Female,Native Hawaiian or Pacific Islander,Hispanic or Latino,FALSE,Finance/Accounting,Mid,98200,87900
59,Bachelor,15.7,Female,Female,Asian,Hispanic or Latino,FALSE,Sales,Director,124300,129900
63,Bachelor,26.2,Female,Female,American Indian or Alaska Native,Hispanic or Latino,FALSE,Software,Executive,183200,183100
30,Bachelor,11.9,Did not disclose,Male,White,Hispanic or Latino,FALSE,Marketing,Director,120000,125700
44,Master,10.4,Female,Female,White,Hispanic or Latino,FALSE,Administrative,Mid,103900,1e+05
